"","id","average_depth","anomaly_score","state","status"
"1",1,7.95,0.58,"normal","normal"
"2",2,7.98,0.58,"normal","normal"
"3",3,7.59,0.6,"normal","normal"
"4",4,7.76,0.59,"normal","normal"
"5",5,8,0.58,"normal","normal"
"6",6,7.94,0.58,"normal","normal"
"7",7,6.84,0.63,"anomalia","anomalia"
"8",8,7.91,0.59,"normal","normal"
"9",9,7.83,0.59,"normal","normal"
"10",10,7.14,0.62,"normal","normal"
"11",11,7.74,0.59,"normal","normal"
"12",12,7.74,0.59,"normal","normal"
"13",13,7.62,0.6,"normal","normal"
"14",14,7.85,0.59,"normal","normal"
"15",15,7.96,0.58,"normal","normal"
"16",16,7.83,0.59,"normal","normal"
"17",17,7.84,0.59,"normal","normal"
"18",18,7.86,0.59,"normal","normal"
"19",19,7.8,0.59,"normal","normal"
"20",20,7.72,0.59,"normal","normal"
"21",21,7.89,0.59,"normal","normal"
"22",22,7.93,0.58,"normal","normal"
"23",23,7.62,0.6,"normal","normal"
"24",24,7.92,0.59,"normal","normal"
"25",25,7.98,0.58,"normal","normal"
"26",26,7.94,0.58,"normal","normal"
"27",27,7.7,0.59,"normal","normal"
"28",28,7.71,0.59,"normal","normal"
"29",29,7.91,0.59,"normal","normal"
"30",30,7.82,0.59,"normal","normal"
"31",31,7.5,0.6,"normal","normal"
"32",32,7.45,0.6,"normal","normal"
"33",33,7.78,0.59,"normal","normal"
"34",34,7.94,0.58,"normal","normal"
"35",35,7.92,0.59,"normal","normal"
"36",36,7.72,0.59,"normal","normal"
"37",37,7.84,0.59,"normal","normal"
"38",38,7.73,0.59,"normal","normal"
"39",39,7.79,0.59,"normal","normal"
"40",40,7.79,0.59,"normal","normal"
"41",41,7.84,0.59,"normal","normal"
"42",42,7.85,0.59,"normal","normal"
"43",43,7.95,0.58,"normal","normal"
"44",44,7.72,0.59,"normal","normal"
"45",45,7.11,0.62,"normal","normal"
"46",46,7.4,0.61,"normal","normal"
"47",47,7.93,0.58,"normal","normal"
"48",48,6.66,0.64,"anomalia","anomalia"
"49",49,7.95,0.58,"normal","normal"
"50",50,7.81,0.59,"normal","normal"
"51",51,7.81,0.59,"normal","normal"
"52",52,7.98,0.58,"normal","normal"
"53",53,7.73,0.59,"normal","normal"
"54",54,7.94,0.58,"normal","normal"
"55",55,7.95,0.58,"normal","normal"
"56",56,7.94,0.58,"normal","normal"
"57",57,6.7,0.64,"anomalia","anomalia"
"58",58,7.98,0.58,"normal","normal"
"59",59,7.82,0.59,"normal","normal"
"60",60,7.69,0.59,"normal","normal"
"61",61,7.47,0.6,"normal","normal"
"62",62,7.93,0.58,"normal","normal"
"63",63,7.95,0.58,"normal","normal"
"64",64,7.79,0.59,"normal","normal"
"65",65,6.95,0.62,"normal","normal"
"66",66,7.95,0.58,"normal","normal"
"67",67,7.8,0.59,"normal","normal"
"68",68,7.98,0.58,"normal","normal"
"69",69,8,0.58,"normal","normal"
"70",70,7.98,0.58,"normal","normal"
"71",71,7.98,0.58,"normal","normal"
"72",72,8,0.58,"normal","normal"
"73",73,7.5,0.6,"normal","normal"
"74",74,8,0.58,"normal","normal"
"75",75,7.94,0.58,"normal","normal"
"76",76,7.76,0.59,"normal","normal"
"77",77,7.81,0.59,"normal","normal"
"78",78,7.81,0.59,"normal","normal"
"79",79,7.85,0.59,"normal","normal"
"80",80,7.91,0.59,"normal","normal"
"81",81,7.99,0.58,"normal","normal"
"82",82,7.81,0.59,"normal","normal"
"83",83,7.74,0.59,"normal","normal"
"84",84,7.97,0.58,"normal","normal"
"85",85,7.9,0.59,"normal","normal"
"86",86,7.69,0.59,"normal","normal"
"87",87,7.29,0.61,"normal","normal"
"88",88,7.45,0.6,"normal","normal"
"89",89,7.26,0.61,"normal","normal"
"90",90,7.76,0.59,"normal","normal"
"91",91,7.71,0.59,"normal","normal"
"92",92,7.26,0.61,"normal","normal"
"93",93,7.86,0.59,"normal","normal"
"94",94,7.93,0.58,"normal","normal"
"95",95,7.73,0.59,"normal","normal"
"96",96,7.91,0.59,"normal","normal"
"97",97,7.9,0.59,"normal","normal"
"98",98,7.84,0.59,"normal","normal"
"99",99,7.97,0.58,"normal","normal"
"100",100,7.97,0.58,"normal","normal"
"101",101,7.91,0.59,"normal","normal"
"102",102,7.95,0.58,"normal","normal"
"103",103,7.78,0.59,"normal","normal"
"104",104,7.72,0.59,"normal","normal"
"105",105,7.77,0.59,"normal","normal"
"106",106,7.28,0.61,"normal","normal"
"107",107,7.91,0.59,"normal","normal"
"108",108,7.96,0.58,"normal","normal"
"109",109,7.74,0.59,"normal","normal"
"110",110,7.86,0.59,"normal","normal"
"111",111,7.55,0.6,"normal","normal"
"112",112,7.94,0.58,"normal","normal"
"113",113,7.93,0.58,"normal","normal"
"114",114,7.65,0.6,"normal","normal"
"115",115,7.95,0.58,"normal","normal"
"116",116,7.86,0.59,"normal","normal"
"117",117,7.79,0.59,"normal","normal"
"118",118,7.67,0.6,"normal","normal"
"119",119,7.99,0.58,"normal","normal"
"120",120,7.94,0.58,"normal","normal"
"121",121,7.84,0.59,"normal","normal"
"122",122,7.98,0.58,"normal","normal"
"123",123,7.96,0.58,"normal","normal"
"124",124,7.91,0.59,"normal","normal"
"125",125,7.95,0.58,"normal","normal"
"126",126,7.89,0.59,"normal","normal"
"127",127,7.9,0.59,"normal","normal"
"128",128,7.81,0.59,"normal","normal"
"129",129,7.86,0.59,"normal","normal"
"130",130,7.73,0.59,"normal","normal"
"131",131,7.98,0.58,"normal","normal"
"132",132,7.94,0.58,"normal","normal"
"133",133,7.96,0.58,"normal","normal"
"134",134,7.98,0.58,"normal","normal"
"135",135,7.96,0.58,"normal","normal"
"136",136,7.93,0.58,"normal","normal"
"137",137,7.99,0.58,"normal","normal"
"138",138,7.6,0.6,"normal","normal"
"139",139,7.94,0.58,"normal","normal"
"140",140,7.37,0.61,"normal","normal"
"141",141,7.27,0.61,"normal","normal"
"142",142,7.95,0.58,"normal","normal"
"143",143,7.95,0.58,"normal","normal"
"144",144,7.63,0.6,"normal","normal"
